ID,x_data,y_data,coverage,redundancy,effort,ideal_coverage
348,50,21,512,0.001446187,45.254834,440.55
349,50,22,512,0.001451565,45.254834,442
350,50,21,512,0.001456944,45.254834,443.45
351,51,21,512,0.001462323,45.254834,444.9
352,51,22,512,0.001467701,45.254834,446.35
353,52,22,513,0.001470208,45.254834,447.8
354,53,22,516,0.001466998,45.254834,449.25
355,54,22,519,0.001463824,45.254834,450.7
356,55,22,523,0.001457894,45.254834,452.15
357,56,22,527,0.001452054,45.254834,453.6
358,57,22,529,0.001449167,45.254834,455.05
359,58,22,533,0.001442166,45.254834,456.5
360,58,23,535,0.001441279,45.254834,457.95
361,59,23,538,0.001438361,45.254834,459.4
362,59,24,540,0.001438133,45.254834,460.85
363,58,25,544,0.001431988,46.66904756,462.3
364,58,26,548,0.001425933,46.66904756,463.75
365,58,25,548,0.00143033,46.66904756,465.2
366,58,26,548,0.001434727,46.66904756,466.65
367,57,26,551,0.001430664,46.66904756,468.1
368,56,26,553,0.00142798,46.66904756,469.55
369,55,26,556,0.001423371,46.66904756,471
370,55,25,556,0.001427086,46.66904756,472.45
371,55,26,556,0.001430181,46.66904756,473.9
372,54,27,562,0.001419812,48.08326112,475.35
373,53,26,565,0.001415929,49.49747468,476.8
374,52,26,567,0.001414577,49.49747468,478.25
375,51,26,570,0.001410756,49.49747468,479.7
376,50,26,573,0.001406974,49.49747468,481.15
377,50,27,577,0.001401993,49.49747468,482.6
378,49,27,579,0.001400718,49.49747468,484.05
379,48,27,581,0.001398266,49.49747468,485.5
380,48,28,583,0.001395831,49.49747468,486.95
381,48,29,585,0.001393412,49.49747468,488.4
382,48,30,587,0.001391011,49.49747468,489.85
383,48,31,589,0.001388625,49.49747468,491.3
384,48,32,591,0.001386256,49.49747468,492.75
385,48,33,593,0.001383902,49.49747468,494.2
386,48,33,593,0.001386224,49.49747468,495.65
387,48,33,593,0.001388546,49.49747468,497.1
388,49,33,595,0.00138735,49.49747468,498.55
389,49,32,596,0.001388488,49.49747468,500
390,49,31,597,0.001389622,49.49747468,501.45
391,48,31,597,0.001391928,49.49747468,502.9
392,48,32,597,0.001394235,49.49747468,504.35
393,48,33,597,0.001396541,49.49747468,505.8
394,49,33,597,0.001400001,49.49747468,507.25
395,50,33,599,0.001399924,49.49747468,508.7
396,50,34,599,0.001403372,49.49747468,510.15
397,51,34,600,0.001404475,49.49747468,511.6
398,52,34,602,0.00140324,49.49747468,513.05
399,53,34,604,0.001401443,49.49747468,514.5
400,53,33,608,0.001396186,49.49747468,515.95
401,54,33,610,0.00139443,49.49747468,517.4
402,54,32,614,0.00138927,49.49747468,518.85
403,54,31,618,0.001384734,49.49747468,520.3
404,55,31,620,0.001383599,49.49747468,521.75
405,55,30,622,0.001382471,49.49747468,523.2
406,55,29,623,0.001383567,49.49747468,524.65
407,55,28,623,0.001386882,49.49747468,526.1
408,55,27,623,0.001390197,49.49747468,527.55
409,55,26,623,0.00139296,49.49747468,529
410,56,26,623,0.00139517,49.49747468,530.45
411,57,26,623,0.001398485,49.49747468,531.9
412,57,27,625,0.001398417,49.49747468,533.35
413,58,27,626,0.001400582,49.49747468,534.8
414,58,28,628,0.001399958,49.49747468,536.25
415,58,29,630,0.001398792,49.49747468,537.7
416,59,30,634,0.001394311,50.91168825,539.15
417,59,31,637,0.001392067,50.91168825,540.6
418,59,32,641,0.001387677,50.91168825,542.05
419,60,32,643,0.001387643,50.91168825,543.5
420,61,32,645,0.00138761,50.91168825,544.95
421,61,33,645,0.001390812,50.91168825,546.4
422,62,33,648,0.001387561,50.91168825,547.85
423,63,33,651,0.001384868,50.91168825,549.3
424,63,32,654,0.001381673,50.91168825,550.75
425,64,32,658,0.001377459,50.91168825,552.2
426,64,31,662,0.001373296,50.91168825,553.65
427,65,31,666,0.001369183,50.91168825,555.1
428,65,31,666,0.001373318,50.91168825,556.55
429,65,31,666,0.001377453,50.91168825,558
430,64,31,666,0.001381588,50.91168825,559.45
431,63,31,666,0.001384689,50.91168825,560.9
432,63,30,667,0.00138571,50.91168825,562.35
