ID,x_data,y_data,test_val
1075,24,36,1
1076,25,36,1
1077,26,36,1
1078,27,36,1
1079,26,36,1
1080,25,36,1
1081,25,35,1
1082,25,34,1
1083,25,33,1
1084,24,32,1
1085,24,31,1
1086,24,30,1
1087,25,30,1
1088,25,29,1
1089,24,29,1
1090,24,28,1
1091,24,27,1
1092,24,26,1
1093,24,25,1
1094,23,25,1
1095,23,25,1
1096,23,25,1
1097,24,25,1
1098,25,25,1
1099,25,24,1
1100,26,24,1
1101,25,23,1
1102,25,22,1
1103,25,21,1
1104,25,20,1
1105,25,19,1
1106,25,18,1
1107,26,18,1
1108,26,17,1
1109,25,17,1
1110,25,16,1
1111,25,15,1
1112,25,14,1
1113,26,14,1
1114,25,14,1
1115,25,13,1
1116,25,12,1
1117,25,11,1
1118,25,10,1
1119,26,10,1
1120,26,9,1
1121,26,10,1
1122,27,10,1
1123,27,11,1
1124,28,11,1
1125,29,11,1
1126,29,10,1
1127,30,10,1
1128,30,9,1
1129,30,8,1
1130,30,7,1
1131,30,6,1
1132,29,6,1
1133,29,5,1
1134,29,4,1
1135,29,3,1
1136,29,3,1
1137,29,3,1
1138,29,2,1
1139,30,2,1
1140,31,2,1
1141,32,2,1
1142,33,2,1
1143,34,2,1
1144,34,2,1
1145,34,2,1
1146,34,3,1
1147,34,4,1
1148,34,5,1
1149,33,5,1
1150,33,6,1
1151,32,7,1
1152,31,8,1
1153,32,9,1
1154,31,9,1
1155,31,10,1
1156,30,10,1
1157,29,10,1
1158,28,9,1
1159,27,9,1
1160,27,10,1
1161,26,10,1
1162,25,10,1
1163,24,10,1
1164,25,9,1
1165,26,10,1
1166,27,10,1
1167,28,10,1
1168,29,10,1
1169,30,10,1
1170,31,9,1
1171,31,10,1
1172,32,11,1
1173,33,11,1
1174,34,10,1
1175,35,11,1
1176,36,11,1
1177,36,12,1
1178,35,12,1
1179,35,13,1
1180,36,14,1
1181,36,15,1
1182,36,16,1
1183,35,17,1
1184,36,18,1
1185,36,19,1
1186,36,20,1
1187,36,21,1
1188,36,22,1
1189,36,23,1
1190,37,23,1
1191,37,24,1
1192,37,25,1
1193,37,26,1
1194,37,27,1
1195,37,28,1
1196,36,29,1
1197,36,30,1
1198,36,31,1
1199,37,32,1
1200,37,33,1
1201,36,33,1
1202,36,34,1
1203,36,35,1
1204,37,35,1
1205,37,36,1
1206,36,36,1
1207,36,37,1
1208,36,36,1
1209,37,36,1
1210,37,35,1
1211,36,34,1
1212,36,33,1
1213,36,32,1
1214,37,31,1
1215,37,30,1
1216,37,29,1
1217,37,28,1
1218,37,27,1
1219,36,26,1
1220,36,25,1
1221,36,24,1
1222,36,23,1
1223,35,23,1
1224,35,22,1
1225,35,21,1
1226,35,20,1
1227,35,19,1
1228,36,18,1
1229,37,18,1
1230,37,17,1
1231,38,17,1
1232,37,16,1
1233,37,15,1
1234,37,14,1
1235,37,13,1
1236,36,13,1
1237,36,12,1
1238,35,12,1
1239,34,11,1
1240,33,11,1
1241,32,11,1
1242,31,11,1
1243,30,10,1
1244,29,10,1
1245,28,9,1
1246,27,10,1
1247,26,11,1
1248,26,12,1
1249,25,12,1
1250,25,13,1
1251,25,14,1
1252,24,14,1
1253,23,14,1
1254,22,14,1
1255,22,15,1
1256,21,15,1
1257,20,14,1
1258,19,14,1
1259,18,14,1
1260,17,15,1
1261,17,16,1
1262,17,17,1
1263,17,18,1
1264,17,19,1
1265,17,20,1
1266,17,21,1
1267,17,22,1
1268,17,23,1
1269,17,24,1
1270,17,25,1
1271,17,26,1
1272,17,27,1
1273,17,28,1
1274,17,29,1
1275,17,30,1
1276,17,31,1
1277,17,32,1
1278,17,33,1
1279,18,32,1
1280,18,33,1
1281,19,33,1
1282,20,33,1
1283,21,33,1
1284,22,33,1
